yr_site,site_abv,% corn,daily mortality_plt,daily_mort_may,Date,month#,Hive_No,Seams_bees,bees_cm2,capped_cm2,open_cm2,pollen_cm2,nectar_cm2,empty_cm2,fondation_cm2,total_comb,capped_%comb,open_%comb,pollen_%comb,nectar_%comb,empty_%comb,drone_cm2,Varroa(Incomplete)
2015MB,MB,19%,0.630509924,0.093388841,822,8,23,19,19768.36,6571.2,4764.12,1971.36,12211.48,6713.576,9823.944,32231.736,20.39%,14.78%,6.12%,37.89%,20.83%,273.8,10
2015WB,WB,30%,0.328982,0.090912312,818,8,26,6,3340.36,0,109.52,4052.24,13799.52,6823.096,17216.544,24784.376,0.00%,0.44%,16.35%,55.68%,27.53%,0,
2015FSR,FSR,49%,1.676940638,0.173394478,817,8,27,19,11061.52,5695.04,3176.08,5968.84,35484.48,11663.88,6406.92,61988.32,9.19%,5.12%,9.63%,57.24%,18.82%,602.36,12
2015WB,WB,30%,0.328982,0.090912312,818,8,28,17,22396.84,5421.24,2464.2,7775.92,35867.8,11006.76,383.32,62535.92,8.67%,3.94%,12.43%,57.36%,17.60%,328.56,0
2015DS,DS,1%,0.991587489,0.161895245,819,8,31.01,10,13142.4,3176.08,1697.56,1423.76,4545.08,12671.464,18541.736,23513.944,13.51%,7.22%,6.05%,19.33%,53.89%,164.28,10
2015DS,DS,1%,0.991587489,0.161895245,819,8,31.02,13,22013.52,6845,3942.72,766.64,109.52,11915.776,18476.024,23579.656,29.03%,16.72%,3.25%,0.46%,50.53%,164.28,8
2015DS,DS,1%,0.991587489,0.161895245,819,8,33,17,19330.28,5640.28,3614.16,2792.76,8268.76,14128.08,7611.64,34444.04,16.38%,10.49%,8.11%,24.01%,41.02%,54.76,1
2015MB,MB,19%,0.630509924,0.093388841,822,8,36,21,19768.36,5695.04,2683.24,8323.52,9856.8,20491.192,4205.568,47049.792,12.10%,5.70%,17.69%,20.95%,43.55%,219.04,11
2015MO,MO,39%,0.890885121,0.116809071,819,8,37,13,6845,657.12,4928.4,8159.24,19275.52,14401.88,6461.68,47422.16,1.39%,10.39%,17.21%,40.65%,30.37%,602.36,0
2015MO,MO,39%,0.890885121,0.116809071,818,8,39,20,11828.16,3833.2,1752.32,2847.52,26503.84,12047.2,2957.04,46984.08,8.16%,3.73%,6.06%,56.41%,25.64%,0,0
