"","x"
"375",-1714.1333235573
"376",-1714.1333235573
"377",-1714.1333235573
"378",-1714.1333235573
"379",-1713.71671227662
"380",-1713.71671227662
"381",-1713.71671227662
"382",-1713.71671227662
"383",-1713.71671227662
"384",-1714.22445630275
"385",-1714.23758756454
"386",-1714.23758756454
"387",-1715.86754197631
"388",-1715.86754197631
"389",-1715.86754197631
"390",-1715.86754197631
"391",-1715.86754197631
"392",-1715.86754197631
"393",-1715.86754197631
"394",-1715.86754197631
"395",-1715.86754197631
"396",-1715.86754197631
"397",-1715.86754197631
"398",-1715.86754197631
"399",-1715.86754197631
"400",-1715.86754197631
"401",-1715.86754197631
"402",-1714.16204027629
"403",-1714.15211592476
"404",-1714.15211592476
"405",-1714.15211592476
"406",-1714.15211592476
"407",-1714.15211592476
"408",-1714.15211592476
"409",-1714.36798144438
"410",-1714.36798144438
"411",-1714.36798144438
"412",-1714.1333235573
"413",-1716.74127799176
"414",-1716.74127799176
"415",-1716.74127799176
"416",-1715.7238284372
"417",-1715.7238284372
"418",-1713.73839327947
"419",-1715.70491045658
"420",-1715.70491045658
"421",-1715.70491045658
"422",-1714.55744714696
"423",-1714.55744714696
"424",-1714.55744714696
"425",-1714.55744714696
"426",-1713.56938767444
"427",-1713.56938767444
"428",-1713.56938767444
"429",-1713.56938767444
"430",-1713.62186927094
"431",-1713.62186927094
"432",-1713.62186927094
"433",-1713.85902315032
"434",-1713.85902315032
"435",-1713.85902315032
"436",-1713.85902315032
"437",-1713.85902315032
"438",-1714.36583429593
"439",-1713.50314359112
"440",-1713.50314359112
"441",-1713.50314359112
"442",-1713.50314359112
"443",-1713.50314359112
"444",-1713.50314359112
"445",-1714.44463029875
"446",-1714.669213585
"447",-1714.54263798766
"448",-1714.54263798766
"449",-1714.54263798766
"450",-1714.54263798766
"451",-1714.54263798766
"452",-1714.54263798766
"453",-1714.05982119458
"454",-1714.05982119458
"455",-1714.05982119458
"456",-1714.05982119458
"457",-1715.82214855714
"458",-1713.89623381197
"459",-1713.89623381197
"460",-1713.89623381197
"461",-1713.89623381197
"462",-1714.35205028772
"463",-1713.54636960861
"464",-1713.54636960861
"465",-1714.10399711984
"466",-1714.10399711984
"467",-1714.16980445679
"468",-1714.16980445679
"469",-1714.01403126114
"470",-1713.97463519161
"471",-1714.3258952302
"472",-1714.7989589159
"473",-1714.42898047759
"474",-1714.02762973446
"475",-1714.02762973446
"476",-1714.02762973446
"477",-1713.59731520642
"478",-1713.59731520642
"479",-1714.08744085641
"480",-1714.71614465664
"481",-1714.71614465664
"482",-1714.38042989506
"483",-1714.55744714696
"484",-1714.55744714696
"485",-1714.55744714696
"486",-1715.10608790379
